date,BIDTOCOVER_30Y
2001-02-08,1.950000
2006-02-09,2.050000
2007-02-08,2.460000
2008-02-07,1.820000
2009-02-12,2.020000
2009-05-07,2.140000
2009-08-13,2.540000
2009-11-12,2.260000
2010-02-11,2.360000
2010-05-13,2.600000
2010-08-12,2.770000
2010-11-10,2.310000
2011-02-10,2.510000
2011-05-12,2.430000
2011-08-11,2.080000
2011-11-10,2.400000
2012-02-09,2.470000
2012-05-10,2.730000
2012-08-09,2.410000
2012-11-08,2.770000
2013-02-14,2.740000
2013-05-09,2.530000
2013-08-08,2.110000
2013-11-14,2.160000
2014-02-13,2.270000
2014-05-08,2.090000
2014-08-14,2.600000
2014-11-13,2.290000
2015-02-12,2.260000
2015-05-14,2.200000
2015-08-13,2.260000
2015-11-12,2.410000
2016-02-11,2.090000
2016-05-12,2.190000
2016-08-11,2.240000
2016-11-10,2.110000
2017-02-09,2.250000
2017-05-11,2.190000
2017-08-10,2.320000
2017-11-09,2.230000
2018-02-08,2.260000
2018-05-10,2.380000
2018-08-09,2.270000
2018-11-07,2.060000
2019-02-07,2.270000
2019-05-09,2.200000
2019-08-08,2.240000
2019-11-07,2.230000
2020-02-13,2.430000
2020-05-13,2.300000
2020-08-13,2.140000
2020-11-12,2.290000
2021-02-11,2.180000
2021-05-13,2.220000
2021-08-12,2.210000
2021-11-10,2.200000
2022-02-10,2.300000
2022-05-12,2.380000
2022-08-11,2.310000
2022-11-10,2.420000
2023-02-09,2.250000
2023-05-11,2.430000
2023-08-10,2.420000
2023-11-09,2.240000
2024-02-08,2.400000
2024-05-09,2.410000
2024-08-08,2.310000
2024-11-06,2.640000
2025-02-13,2.330000
2025-05-08,2.310000
2025-08-07,2.270000
2025-11-13,2.290000
2026-02-12,2.660000
2026-05-13,2.300000
